SSE_output_unit1,SSE_output_unit2,SSE_output_unit3,SSE_output_unit4,SSE_output_unit5,SSE_output_unit6,SSE_output_unit7,SSE_output_unit8
0.8793,0.8790,0.8835,0.8795,0.8797,0.8863,0.8802,0.8772
0.8793,0.8790,0.8835,0.8795,0.8797,0.8863,0.8801,0.8772
0.8793,0.8790,0.8835,0.8794,0.8796,0.8863,0.8801,0.8772
0.8792,0.8790,0.8835,0.8794,0.8796,0.8863,0.8801,0.8771
0.8792,0.8790,0.8835,0.8794,0.8795,0.8863,0.8801,0.8771
0.8792,0.8790,0.8835,0.8794,0.8795,0.8863,0.8801,0.8770
0.8792,0.8790,0.8834,0.8794,0.8795,0.8864,0.8800,0.8770
0.8792,0.8791,0.8834,0.8793,0.8794,0.8864,0.8800,0.8770
0.8792,0.8791,0.8834,0.8793,0.8794,0.8864,0.8800,0.8769
0.8791,0.8791,0.8834,0.8793,0.8793,0.8864,0.8800,0.8769
0.8791,0.8791,0.8834,0.8793,0.8793,0.8864,0.8799,0.8768
0.8791,0.8791,0.8834,0.8793,0.8792,0.8864,0.8799,0.8768
0.8791,0.8791,0.8834,0.8792,0.8792,0.8865,0.8799,0.8768
0.8791,0.8791,0.8834,0.8792,0.8792,0.8865,0.8799,0.8767
0.8790,0.8791,0.8834,0.8792,0.8791,0.8865,0.8799,0.8767
0.8790,0.8791,0.8834,0.8792,0.8791,0.8865,0.8798,0.8766
0.8790,0.8791,0.8834,0.8792,0.8790,0.8865,0.8798,0.8766
0.8790,0.8791,0.8834,0.8791,0.8790,0.8865,0.8798,0.8766
0.8789,0.8792,0.8834,0.8791,0.8789,0.8866,0.8798,0.8765
0.8789,0.8792,0.8834,0.8791,0.8789,0.8866,0.8798,0.8765
0.8789,0.8792,0.8834,0.8791,0.8788,0.8866,0.8797,0.8764
0.8789,0.8792,0.8834,0.8790,0.8788,0.8866,0.8797,0.8764
0.8788,0.8792,0.8834,0.8790,0.8788,0.8866,0.8797,0.8763
0.8788,0.8792,0.8834,0.8790,0.8787,0.8866,0.8797,0.8763
0.8788,0.8792,0.8834,0.8790,0.8787,0.8867,0.8796,0.8763
0.8788,0.8792,0.8834,0.8790,0.8786,0.8867,0.8796,0.8762
0.8788,0.8792,0.8834,0.8789,0.8786,0.8867,0.8796,0.8762
0.8787,0.8792,0.8834,0.8789,0.8785,0.8867,0.8796,0.8761
0.8787,0.8792,0.8834,0.8789,0.8785,0.8867,0.8796,0.8761
0.8787,0.8792,0.8834,0.8788,0.8784,0.8867,0.8795,0.8760
0.8786,0.8793,0.8834,0.8788,0.8784,0.8868,0.8795,0.8760
0.8786,0.8793,0.8834,0.8788,0.8783,0.8868,0.8795,0.8759
0.8786,0.8793,0.8834,0.8788,0.8783,0.8868,0.8795,0.8759
0.8786,0.8793,0.8834,0.8787,0.8782,0.8868,0.8795,0.8758
0.8785,0.8793,0.8834,0.8787,0.8782,0.8868,0.8794,0.8758
0.8785,0.8793,0.8834,0.8787,0.8781,0.8869,0.8794,0.8757
0.8785,0.8793,0.8833,0.8786,0.8781,0.8869,0.8794,0.8757
0.8785,0.8793,0.8833,0.8786,0.8780,0.8869,0.8794,0.8756
0.8784,0.8793,0.8833,0.8786,0.8780,0.8869,0.8793,0.8756
0.8784,0.8793,0.8833,0.8785,0.8779,0.8869,0.8793,0.8755
0.8784,0.8793,0.8833,0.8785,0.8778,0.8869,0.8793,0.8755
0.8783,0.8793,0.8833,0.8785,0.8778,0.8870,0.8793,0.8754
0.8783,0.8793,0.8833,0.8784,0.8777,0.8870,0.8793,0.8754
0.8783,0.8793,0.8833,0.8784,0.8777,0.8870,0.8792,0.8753
0.8782,0.8793,0.8833,0.8784,0.8776,0.8870,0.8792,0.8753
0.8782,0.8793,0.8833,0.8783,0.8776,0.8870,0.8792,0.8752
0.8782,0.8793,0.8833,0.8783,0.8775,0.8871,0.8792,0.8752
0.8782,0.8793,0.8833,0.8783,0.8775,0.8871,0.8791,0.8751
0.8781,0.8794,0.8833,0.8782,0.8774,0.8871,0.8791,0.8750
0.8781,0.8794,0.8833,0.8782,0.8773,0.8871,0.8791,0.8750
0.8781,0.8794,0.8833,0.8781,0.8773,0.8871,0.8791,0.8749
0.8780,0.8794,0.8833,0.8781,0.8772,0.8872,0.8791,0.8749
0.8780,0.8794,0.8833,0.8781,0.8772,0.8872,0.8790,0.8748
0.8779,0.8794,0.8833,0.8780,0.8771,0.8872,0.8790,0.8748
0.8779,0.8794,0.8832,0.8780,0.8770,0.8872,0.8790,0.8747
0.8779,0.8794,0.8832,0.8779,0.8770,0.8872,0.8790,0.8746
0.8778,0.8794,0.8832,0.8779,0.8769,0.8872,0.8789,0.8746
0.8778,0.8794,0.8832,0.8778,0.8768,0.8873,0.8789,0.8745
0.8778,0.8794,0.8832,0.8778,0.8768,0.8873,0.8789,0.8744
0.8777,0.8794,0.8832,0.8778,0.8767,0.8873,0.8789,0.8744
0.8777,0.8794,0.8832,0.8777,0.8767,0.8873,0.8788,0.8743
0.8776,0.8794,0.8832,0.8777,0.8766,0.8873,0.8788,0.8742
0.8776,0.8794,0.8832,0.8776,0.8765,0.8874,0.8788,0.8742
0.8776,0.8794,0.8832,0.8776,0.8765,0.8874,0.8788,0.8741
0.8775,0.8794,0.8832,0.8775,0.8764,0.8874,0.8787,0.8740
0.8775,0.8794,0.8832,0.8775,0.8763,0.8874,0.8787,0.8740
0.8774,0.8794,0.8832,0.8774,0.8762,0.8874,0.8787,0.8739
0.8774,0.8794,0.8831,0.8774,0.8762,0.8875,0.8787,0.8738
0.8774,0.8794,0.8831,0.8773,0.8761,0.8875,0.8786,0.8738
0.8773,0.8794,0.8831,0.8772,0.8760,0.8875,0.8786,0.8737
0.8773,0.8794,0.8831,0.8772,0.8760,0.8875,0.8786,0.8736
0.8772,0.8794,0.8831,0.8771,0.8759,0.8875,0.8786,0.8735
0.8772,0.8794,0.8831,0.8771,0.8758,0.8876,0.8785,0.8735
0.8771,0.8794,0.8831,0.8770,0.8757,0.8876,0.8785,0.8734
0.8771,0.8794,0.8831,0.8770,0.8757,0.8876,0.8785,0.8733
0.8770,0.8794,0.8831,0.8769,0.8756,0.8876,0.8785,0.8732
0.8770,0.8794,0.8830,0.8768,0.8755,0.8876,0.8784,0.8732
0.8770,0.8794,0.8830,0.8768,0.8754,0.8876,0.8784,0.8731
0.8769,0.8794,0.8830,0.8767,0.8753,0.8877,0.8784,0.8730
0.8769,0.8794,0.8830,0.8766,0.8753,0.8877,0.8784,0.8729
